orderName,familyName,IUCN SciName,NLSK SciName,EltonTraits SciName,JAVIAN SciName,English Common Name,Korean Common Name,Diet-Inv (%),Diet-Vert (%),Diet-Herptile (%),Diet-Fish (%),Diet-GerUnk (%),Diet-Scav (%),Diet-Fruit (%),Diet-Nect (%),Diet-Seed (%),Diet-PlantO (%),For-watbelowsurf (%),For-wataroundsurf (%),For-ground (%),For-understory (%),For-midhigh (%),For-canopy (%),For-aerial (%),For-PelagicSpecialist (%),For-Nocturnal (%),Mp-BodyMass-Value (g),H-Urban (binary),H-Agricultural (binary),H-Coast (binary),H-LakeRiver (binary),H-Wetland (binary),H-GrassShrub (binary),H-Forest (binary),H-MountainAlpin (binary),N-Ground (binary),N-GrassShrub (binary),N-Tree (binary),N-TreeHole (binary),N-CliffCave (binary),N-Waterlevel (binary),N-Artificial (binary),N-Pararsitize (binary),N-Reuse (binary),Ref,,,,,,,,
ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter gentilis,Accipiter gentilis,Accipiter gentilis,Accipiter gentilis,Northern Goshawk,참매,0,90,10,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,866.04,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,"1,2",,,,,,,,
ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter gularis,Accipiter gularis,Accipiter gularis,Accipiter gularis,Japanese Sparrowhawk,조롱이,10,80,10,0,0,0,0,0,0,0,0,0,10,10,60,10,10,0,0,120.66,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"1,2",,,,,,,,
ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter nisus,Accipiter nisus,Accipiter nisus,Accipiter nisus,Eurasian Sparrowhawk,새매,0,100,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,0,0,220.79,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,"1,2",,,,,,,,
ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter soloensis,Accipiter soloensis,Accipiter soloensis,Accipiter soloensis,Chinese Sparrowhawk,붉은배새매,10,20,70,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,164.77,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"1,2",,,,,,,,
ACCIPITRIFORMES,ACCIPITRIDAE,Accipiter virgatus,Accipiter virgatus,Accipiter virgatus,#N/A,Besra,작은새매,20,60,20,0,0,0,0,0,0,0,0,0,50,0,30,20,0,0,0,116.99,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,"1, 107",,,,,,,,
ACCIPITRIFORMES,ACCIPITRIDAE,Aegypius monachus,Aegypius monachus,Aegypius monachus,Aegypius monachus,Cinereous Vulture,독수리,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,9320.55,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,"1,2",,,,,,,,
ACCIPITRIFORMES,ACCIPITRIDAE,Aquila chrysaetos,Aquila chrysaetos,Aquila chrysaetos,Aquila chrysaetos,Golden Eagle,검독수리,0,80,10,0,0,10,0,0,0,0,0,0,100,0,0,0,0,0,0,4247.97,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,"1,2",,,,,,,,
ACCIPITRIFORMES,ACCIPITRIDAE,Aquila fasciata,Hieraaetus fasciatus,Aquila fasciatus,#N/A,Bonelli's Eagle,흰배줄무늬수리,0,90,10,0,0,0,0,0,0,0,0,0,70,0,10,10,10,0,0,1936.49,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,"1,30",,,,,,,,
ACCIPITRIFORMES,ACCIPITRIDAE,Aquila heliaca,Aquila heliaca,Aquila heliaca,Aquila heliaca,Eastern Imperial Eagle,흰죽지수리,0,70,20,0,0,10,0,0,0,0,0,0,100,0,0,0,0,0,0,3125.21,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,"1,2",,,,,,,,
ACCIPITRIFORMES,ACCIPITRIDAE,Aquila nipalensis,Aquila nipalensis,Aquila nipalensis,Aquila nipalensis,Steppe Eagle,초원수리,0,90,0,0,0,10,0,0,0,0,0,0,100,0,0,0,0,0,0,2714.33,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,"1,2",,,,,,,,
ACCIPITRIFORMES,ACCIPITRIDAE,Aviceda leuphotes,Aviceda leuphotes,Aviceda leuphotes,#N/A,Black Baza,검은댕기수리,70,10,20,0,0,0,0,0,0,0,0,0,33,33,33,0,0,0,0,193.98,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,"1, 112, 113",,,,,,,,
ACCIPITRIFORMES,ACCIPITRIDAE,Butastur indicus,Butastur indicus,Butastur indicus,Butastur indicus,Grey-faced Buzzard,왕새매,0,50,50,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,414.6,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,"1,2",,,,,,,,
ACCIPITRIFORMES,ACCIPITRIDAE,Buteo buteo,Buteo buteo,Buteo buteo,Buteo buteo,Eurasian Buzzard,말똥가리,0,90,10,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,759.1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,"1,2",,,,,,,,
ACCIPITRIFORMES,ACCIPITRIDAE,Buteo hemilasius,Buteo hemilasius,Buteo hemilasius,Buteo hemilasius,Upland Buzzard,큰말똥가리,10,80,10,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1358.89,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"1,2",,,,,,,,
ACCIPITRIFORMES,ACCIPITRIDAE,Buteo lagopus,Buteo lagopus,Buteo lagopus,Buteo lagopus,Rough-legged Buzzard,털발말똥가리,10,80,0,10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,949.76,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,"1,2",,,,,,,,
ACCIPITRIFORMES,ACCIPITRIDAE,Circus cyaneus,Circus cyaneus,Circus cyaneus,Circus cyaneus,Hen Harrier,잿빛개구리매,10,70,10,0,0,10,0,0,0,0,0,0,100,0,0,0,0,0,0,392.98,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,"1,2",,,,,,,,
