Number,Title,Author,Year,Publisher,Published City,ISBN,DOI
1,EltonTraits 1.0: Species-level foraging attributes of the world’s birds and mammals.,"Wilman, H. et al",2014,Ecology ,,,
2,"JAVIAN Database: a species-level database of life history, ecology and morphology of bird species in Japan","TAKAGAWA, S. et al. ",2011,Bird Research,,,doi:10.11211/birdresearch.7.R9
3,"Black Grouse (Lyrurus tetrix), version 1.1","de Juana, Eduardo; Kirwan, Guy M.; Boesman, Peter F. D.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.blagro1.01.1
4,"Bar-headed Goose (Anser indicus), version 1.0","Carboneras, Carles; Kirwan, Guy M.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.bahgoo.01
5,"Canada Goose (Branta canadensis), version 1.0","Mowbray, Thomas B.; Ely, Craig R.; Sedinger, James S.; Trost, Robert E.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.cangoo.01
6,"American Black Duck (Anas rubripes), version 1.0","Longcore, Jerry R.; McAuley, Daniel G.; Hepp, Gary R.; Rhymer, Judith M.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.ambduc.01
7,"Indian Spot-billed Duck (Anas poecilorhyncha), version 1.0","Carboneras, Carles; Kirwan, Guy M.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.isbduc1.01
8,"Black Scoter (Melanitta americana), version 1.0","Bordage, Daniel; Savard, Jean-Pierre L.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.blksco2.01
9,"Barrow's Goldeneye (Bucephala islandica), version 1.0","Eadie, John M.; Savard, Jean-Pierre L.; Mallory, Mark L.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.bargol.01
10,"Red-throated Loon (Gavia stellata), version 2.0","Rizzolo, Daniel J.; Gray, Carrie E.; Schmutz, Joel A.; Barr, Jack F.; Eberl, Christine; McIntyre, Judith W.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.retloo.02
11,"Arctic Loon (Gavia arctica), version 1.0","Russell, Robert W.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.arcloo.01
12,"Pacific Loon (Gavia pacifica), version 1.0","Russell, Robert W.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.pacloo.01
13,"Yellow-billed Loon (Gavia adamsii), version 1.0","Uher-Koch, Brian D.; North, Michael R.; Schmutz, Joel A.",,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.yebloo.01
